Ensembl Id	Gene Name	Description	Entrez	Genbank	UniGene
ENSMUSG00000030587	2200002D01Rik	RIKEN cDNA 2200002D01 gene [Source:MGI Symbol;Acc:MGI:1919525]	72275	EDL24073	Mm.441142
ENSMUSG00000069893	9930111J21Rik1	RIKEN cDNA 9930111J21 gene 1 [Source:MGI Symbol;Acc:MGI:3041173]	667214		Mm.441306
ENSMUSG00000015134	Aldh1a3	aldehyde dehydrogenase family 1, subfamily A3 [Source:MGI Symbol;Acc:MGI:1861722]	56847		Mm.140988
ENSMUSG00000029455	Aldh2	aldehyde dehydrogenase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99600]	11669		Mm.284446
ENSMUSG00000057346	Apol9a	apolipoprotein L 9a [Source:MGI Symbol;Acc:MGI:3606001]	223672	AAH20489	
ENSMUSG00000068246	Apol9b	apolipoprotein L 9b [Source:MGI Symbol;Acc:MGI:1919148]	71898	BAC34105	Mm.422856
ENSMUSG00000047446	Arl4a	ADP-ribosylation factor-like 4A [Source:MGI Symbol;Acc:MGI:99437]	11861	AAH29234	Mm.486608
ENSMUSG00000007656	Arpp19	cAMP-regulated phosphoprotein 19 [Source:MGI Symbol;Acc:MGI:1891691]	59046		Mm.473473
ENSMUSG00000024121	Atp6v0c	ATPase, H+ transporting, lysosomal V0 subunit C [Source:MGI Symbol;Acc:MGI:88116]	11984		Mm.449294
ENSMUSG00000054428	Atpif1	ATPase inhibitory factor 1 [Source:MGI Symbol;Acc:MGI:1196457]	11983	AAH12680	Mm.2171
ENSMUSG00000060802	B2m	beta-2 microglobulin [Source:MGI Symbol;Acc:MGI:88127]	12010	AAA39537	Mm.437261
ENSMUSG00000047721	Bola2	bolA-like 2 (E. coli) [Source:MGI Symbol;Acc:MGI:1913412]	66162	AAH61197	
ENSMUSG00000046718	Bst2	bone marrow stromal cell antigen 2 [Source:MGI Symbol;Acc:MGI:1916800]	69550	AAH87949	
ENSMUSG00000024164	C3	complement component 3 [Source:MGI Symbol;Acc:MGI:88227]	100048759		Mm.19131
ENSMUSG00000000184	Ccnd2	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]	12444	AAH49086	Mm.470611
ENSMUSG00000020326	Ccng1	cyclin G1 [Source:MGI Symbol;Acc:MGI:102890]	12450	BAA24492	Mm.395921
ENSMUSG00000022661	Cd200	CD200 antigen [Source:MGI Symbol;Acc:MGI:1196990]	17470	AAH19172	Mm.415782
ENSMUSG00000032679	Cd59a	CD59a antigen [Source:MGI Symbol;Acc:MGI:109177]	12509	BAC37996	Mm.247265
ENSMUSG00000024610	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated) [Source:MGI Symbol;Acc:MGI:96534]	16149	EDL09810	
ENSMUSG00000037706	Cd81	CD81 antigen [Source:MGI Symbol;Acc:MGI:1096398]	12520	AAH11433	Mm.474956
ENSMUSG00000000303	Cdh1	cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]	12550	AAA37352	Mm.35605
ENSMUSG00000023067	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21) [Source:MGI Symbol;Acc:MGI:104556]	12575	AAH02043	Mm.416192
ENSMUSG00000044303	Cdkn2a	cyclin-dependent kinase inhibitor 2A [Source:MGI Symbol;Acc:MGI:104738]	12578	AAD33245	Mm.4733
ENSMUSG00000034612	Chst11	carbohydrate sulfotransferase 11 [Source:MGI Symbol;Acc:MGI:1927166]	58250	CAB92141	Mm.395623
ENSMUSG00000001270	Ckb	creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]	12709	CAA28259	Mm.16831
ENSMUSG00000030157	Clec2d	C-type lectin domain family 2, member d [Source:MGI Symbol;Acc:MGI:2135589]	93694	ABA43361	Mm.197536
ENSMUSG00000001506	Col1a1	collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]	12842	CAA41046	Mm.458212
ENSMUSG00000029661	Col1a2	collagen, type I, alpha 2 [Source:MGI Symbol;Acc:MGI:88468]	12843	AAA37331	Mm.488715
ENSMUSG00000026043	Col3a1	collagen, type III, alpha 1 [Source:MGI Symbol;Acc:MGI:88453]	12825	CAA41048	Mm.470515
ENSMUSG00000031503	Col4a2	collagen, type IV, alpha 2 [Source:MGI Symbol;Acc:MGI:88455]	12827		Mm.181021
ENSMUSG00000026500	Cox20	COX20 Cox2 chaperone [Source:MGI Symbol;Acc:MGI:1913609]	66359	AAH59717	Mm.489720
ENSMUSG00000031231	Cox7b	cytochrome c oxidase subunit VIIb [Source:MGI Symbol;Acc:MGI:1913392]	66142	AAH24350	
ENSMUSG00000006360	Crip1	cysteine-rich protein 1 (intestinal) [Source:MGI Symbol;Acc:MGI:88501]	12925	AAH31922	
ENSMUSG00000001622	Csn3	casein kappa [Source:MGI Symbol;Acc:MGI:107461]	12994	AAH50269	Mm.472446
ENSMUSG00000027447	Cst3	cystatin C [Source:MGI Symbol;Acc:MGI:102519]	13010		Mm.486105
ENSMUSG00000021939	Ctsb	cathepsin B [Source:MGI Symbol;Acc:MGI:88561]	13030	AAH06656	Mm.236553
ENSMUSG00000030560	Ctsc	cathepsin C [Source:MGI Symbol;Acc:MGI:109553]	13032		Mm.421976
ENSMUSG00000007891	Ctsd	cathepsin D [Source:MGI Symbol;Acc:MGI:88562]	13033	AAH57931	Mm.392048
ENSMUSG00000021477	Ctsl	cathepsin L [Source:MGI Symbol;Acc:MGI:88564]	13039	CAA27980	Mm.401377
ENSMUSG00000034855	Cxcl10	chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450]	15945		Mm.877
ENSMUSG00000021508	Cxcl14	chemokine (C-X-C motif) ligand 14 [Source:MGI Symbol;Acc:MGI:1888514]	57266	AAK52903	Mm.30211
ENSMUSG00000029417	Cxcl9	chemokine (C-X-C motif) ligand 9 [Source:MGI Symbol;Acc:MGI:1352449]	17329	AAH03343	Mm.766
ENSMUSG00000006519	Cyba	cytochrome b-245, alpha polypeptide [Source:MGI Symbol;Acc:MGI:1316658]	13057	AAH26791	
ENSMUSG00000026385	Dbi	diazepam binding inhibitor [Source:MGI Symbol;Acc:MGI:94865]	13167	EDL39803	
ENSMUSG00000001674	Ddx18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 [Source:MGI Symbol;Acc:MGI:1914192]	66942		Mm.44219
ENSMUSG00000041645	Ddx24	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24 [Source:MGI Symbol;Acc:MGI:1351337]	27225	AAB01091	
ENSMUSG00000037921	Ddx60	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60 [Source:MGI Symbol;Acc:MGI:2384570]	234311	BAC29452	Mm.275233
ENSMUSG00000049502	Dtx3l	deltex 3-like (Drosophila) [Source:MGI Symbol;Acc:MGI:2656973]	209200	AAI37695	Mm.390852
ENSMUSG00000021417	Eci2	enoyl-Coenzyme A delta isomerase 2 [Source:MGI Symbol;Acc:MGI:1346064]	23986		Mm.491141
ENSMUSG00000024079	Eif2ak2	eukaryotic translation initiation factor 2-alpha kinase 2 [Source:MGI Symbol;Acc:MGI:1353449]	19106	BAC26027	Mm.402205
ENSMUSG00000030738	Eif3c	eukaryotic translation initiation factor 3, subunit C [Source:MGI Symbol;Acc:MGI:1926966]	56347	AAH25032	Mm.401564
ENSMUSG00000038776	Ephx1	epoxide hydrolase 1, microsomal [Source:MGI Symbol;Acc:MGI:95405]	13849	AAH61493	Mm.9075
ENSMUSG00000050212	Eva1b	eva-1 homolog B (C. elegans) [Source:MGI Symbol;Acc:MGI:1922063]	230752	AAH29204	Mm.41569
ENSMUSG00000029672	Fam3c	family with sequence similarity 3, member C [Source:MGI Symbol;Acc:MGI:107892]	27999		Mm.485232
ENSMUSG00000003355	Fkbp11	FK506 binding protein 11 [Source:MGI Symbol;Acc:MGI:1913370]	66120	AAH37596	Mm.401838
